Name,Process,CaptureTime,EdgesTime,DeisolationTime,ErrorMass,ErrorDensity,ErrorTime,WhiteMass,WhiteDensity,WhiteTime,TotalTime,Author
IMG_2670,B2D,0.172994,0.2027251,36.786403,18043763.14730524,31.570650225541765,2.061,563349.0,0.9856754430167128,12.9683156,52.1914377,Julian
IMG_2670,F2D,0.1700606,0.2000324,36.6107213,15267040.29690537,26.712298607446197,2.090996,563673.0,0.9862423364407491,12.8420855,51.9138958,Julian
IMG_2670,I2D,0.1690019,22.7439984,37.0432405,7809807.185980774,13.664593631863564,1.558005,561303.0,0.9820956160241875,12.9230752,74.437321,Julian
IMG_2671,CED,0.5117622,6.8699745,37.2725159,4475694.120896495,7.83099248498169,2.1369108,565692.0,0.9897749223146048,12.9135948,59.7047582,Julian
IMG_2671,B2D,0.1700333,0.2016179,36.913089,20814491.37428069,36.418513224505006,2.0450288,567999.0,0.9938114134542706,12.7843156,52.1140846,Julian
IMG_2671,F2D,0.1869956,0.2010021,36.6855848,17072169.582247112,29.870681080889238,1.9910232,568300.0,0.9943380644438845,12.7660063,51.830612,Julian
IMG_2671,I2D,0.176021,22.3674587,37.752982,4275834.904951073,7.481304598399879,1.2409789,566108.0,0.9905027854763304,12.8909913,74.4284319,Julian
IMG_2672,CED,0.2844112,7.1398661,36.8622003,4718950.977152416,8.256611966966938,2.1370008,566848.0,0.9917975420620924,12.8259992,59.2494776,Julian
IMG_2672,B2D,0.1781277,0.20201,36.8631614,19907481.34835402,34.83154402934202,2.116029,568304.0,0.9943450631281319,13.0009996,52.3603277,Julian
IMG_2672,F2D,0.2001492,0.2667372,36.759312,18168349.682545446,31.788635680946513,1.9980016,568635.0,0.994924204249601,12.936999,52.161199,Julian
IMG_2672,I2D,0.1770013,22.7640211,37.4006718,2997345.685733741,5.244369008660419,1.1830004,566691.0,0.9915228437053833,12.9021306,74.4268252,Julian
