Target,Status,Width,Height,PixelCount,TotalTime,Author
sean_IMG_20210604_105235.jpg,Good,3580,1968,7045440,548854.9996,Julian Caleb
yorika_IMG_20210604_131945.jpg,Good,5120,3840,19660800,1193148.9968,Julian Caleb
sean_IMG_20210604_104733.jpg,Good,4144,1920,7956480,628815.0,Julian Caleb
sean_IMG_20210604_105438.jpg,Good,4144,1632,6763008,529495.0009,Julian Caleb
sean_IMG_20210604_104943.jpg,Good,4144,1668,6912192,538107.9999,Julian Caleb
yorika_IMG_20210603_135058.jpg,Good,4340,2412,10468080,812044.9983,Julian Caleb
yorika_IMG_20210604_131903.jpg,Good,5120,3840,19660800,1373852.023,Julian Caleb
sean_IMG_20210604_105151.jpg,Good,3736,1968,7352448,571782.9979,Julian Caleb
yorika_IMG_20210604_131416.jpg,Good,4272,5088,21735936,1716305.9996,Julian Caleb
sean_IMG_20210604_105425.jpg,Good,3892,1968,7659456,588899.0021,Julian Caleb
sean_IMG_20210604_104728.jpg,Good,4144,1968,8155392,651695.9989,Julian Caleb
